YEAR,MONTH,AIRPORT,FLIGHTS,STRIKES,WND_ANG_MEAN,WND_SPD_MEAN,CIG_MEAN,VIS_MEAN,TMP_MEAN,DEW_MEAN,SLP_MEAN
2019,1,LAX,51178,17,120.0,2.72,11622.88,13669.53,12.76,5.1,1019.71
2019,1,MCI,8892,2,260.0,5.7,,15000.0,-0.55,-4.75,1021.9
2019,1,MCO,28140,24,192.73,3.99,14028.62,16065.88,13.89,9.37,1022.64
2019,1,MEM,4386,2,20.0,2.05,411.5,10058.0,10.55,8.65,1024.1
2019,1,ORD,62442,3,276.67,2.73,559.0,12874.33,-6.1,-8.33,1031.25
2019,1,RSW,7940,4,155.0,1.27,22000.0,16093.0,16.52,11.68,1018.18
2019,1,SDF,4122,4,255.0,6.05,14810.0,15546.5,7.5,-0.27,1018.38
2019,1,SEA,33017,5,60.0,1.96,22000.0,12833.6,4.5,1.26,1008.23
2019,1,SLC,20475,8,265.0,2.2,6200.75,11846.62,-2.36,-4.65,1024.6
2019,1,TPA,14508,9,81.25,3.32,13163.71,16051.67,12.47,7.53,1023.67
2019,2,ATL,62227,10,163.0,4.13,4718.17,10008.7,7.94,1.82,1024.61
2019,2,AUS,9566,7,217.5,1.67,7099.25,7912.57,15.09,10.86,1017.0
2019,2,CLT,39228,6,193.33,3.72,2682.5,14096.17,11.3,4.98,1020.62
2019,2,CVG,7364,6,78.33,3.95,13591.0,13900.83,1.58,-5.02,1023.27
2019,2,DAL,10823,2,120.0,3.1,7620.0,16093.0,6.95,0.25,1021.15
2019,2,DEN,41242,9,183.75,3.31,10969.57,11994.89,-5.57,-11.16,1013.92
2019,2,DFW,47192,15,152.67,5.03,8610.86,12431.33,7.89,0.67,1017.95
2019,2,DTW,26404,0,,,,,,,
2019,2,FLL,22707,7,140.0,3.8,14043.14,16093.0,22.37,19.84,1019.29
2019,2,IAH,33364,8,220.0,4.44,4388.14,11363.5,16.73,11.31,1015.44
2019,2,JFK,31320,7,251.43,4.36,8887.67,13900.0,-1.54,-7.81,1026.4
2019,2,LAX,45736,9,190.0,3.54,10299.29,15714.78,11.61,6.92,1016.08
2019,2,MCI,8017,1,120.0,4.6,22000.0,16093.0,-10.0,-13.9,1042.0
2019,2,MCO,25796,16,111.54,2.46,13580.08,14747.69,19.73,17.29,1020.41
